id2,y,x,w
23,43.2440,1.5288,3.0116
23,39.8386,1.4545,3.0116
23,48.8713,2.4041,3.0116
23,34.0537,-0.0801,3.0116
23,39.9402,1.0938,3.0116
23,40.9507,1.4767,3.0116
23,51.0402,3.0513,3.0116
23,31.8491,0.2056,3.0116
24,35.6386,0.4346,-0.4958
24,35.7911,-0.2129,-0.4958
24,36.4664,-1.3169,-0.4958
24,36.4796,0.9116,-0.4958
24,34.7140,0.3093,-0.4958
24,37.1170,0.6860,-0.4958
24,35.7930,-1.5846,-0.4958
24,37.2221,-0.4931,-0.4958
24,35.7792,-0.1406,-0.4958
24,36.7755,-0.4083,-0.4958
25,27.6948,-0.0829,0.4826
25,27.8511,-0.5352,0.4826
25,32.0806,-1.7593,0.4826
25,27.3389,-0.3639,0.4826
25,35.3675,-2.0603,0.4826
25,26.4486,-0.1017,0.4826
25,27.1653,0.4148,0.4826
25,28.2795,0.2691,0.4826
25,33.3697,-1.9033,0.4826
25,33.2984,-1.4994,0.4826
26,36.7087,-0.2572,1.0725
26,33.0577,-1.5691,1.0725
26,39.7741,1.0458,1.0725
26,35.9199,-0.5060,1.0725
26,39.5475,0.6605,1.0725
26,38.3874,0.9000,1.0725
26,41.7073,1.9494,1.0725
26,33.1466,-1.6629,1.0725
26,40.5740,1.2072,1.0725
26,33.7760,0.0635,1.0725
27,52.4803,1.4965,-0.7459
27,33.9288,-0.5315,-0.7459
27,36.0409,-0.3290,-0.7459
27,48.1983,0.8524,-0.7459
27,31.6520,-0.7561,-0.7459
27,44.3611,0.7215,-0.7459
27,42.0808,0.3373,-0.7459
27,63.4851,2.8467,-0.7459
27,39.7850,0.1541,-0.7459
27,60.0280,2.4618,-0.7459
28,45.5979,0.0224,0.0461
28,47.3421,-0.0019,0.0461
28,46.2117,0.5538,0.0461
28,46.4300,0.3299,0.0461
28,46.9658,0.0840,0.0461
28,46.0874,-0.7983,0.0461
28,47.1116,0.6072,0.0461
28,46.9445,-0.8456,0.0461
28,44.1448,-1.8328,0.0461
28,46.6047,-0.8894,0.0461
29,47.1215,0.4464,1.2947
29,43.7126,-0.1338,1.2947
29,54.4207,1.0127,1.2947
29,47.5307,0.2503,1.2947
29,35.0639,-1.1789,1.2947
29,41.3462,-0.5740,1.2947
29,48.5198,0.3003,1.2947
29,65.1688,2.2188,1.2947
29,46.0202,0.0173,1.2947
29,41.4299,-0.5138,1.2947
30,49.6389,1.0422,1.2184
30,53.6551,1.4669,1.2184
30,50.3007,-0.9010,1.2184
30,52.2670,0.4176,1.2184
30,49.5736,-1.1441,1.2184
30,52.7631,-0.0400,1.2184
30,52.4481,-0.0654,1.2184
30,51.9932,-0.0508,1.2184
30,51.7402,0.6024,1.2184
30,50.3696,-0.3433,1.2184
31,39.0154,-2.1640,-0.1476
31,37.8960,-2.0874,-0.1476
31,41.7591,-1.1552,-0.1476
31,54.3915,0.4585,-0.1476
31,50.6826,-0.3224,-0.1476
31,52.3483,0.3981,-0.1476
31,36.4752,-2.3395,-0.1476
31,61.6717,1.2420,-0.1476
31,51.2691,-0.2183,-0.1476
31,52.3976,-0.2525,-0.1476
32,50.2085,0.7754,0.7793
32,47.7983,-1.1122,0.7793
32,47.3167,-0.4786,0.7793
32,42.0358,-2.0765,0.7793
32,51.4091,0.6629,0.7793
32,46.7327,0.0592,0.7793
32,44.1368,-1.7315,0.7793
32,47.4280,-0.2150,0.7793
32,50.4003,0.2780,0.7793
32,46.2490,-1.1669,0.7793
33,50.6418,1.2617,1.1826
33,50.6036,1.9381,1.1826
33,51.9264,2.1239,1.1826
33,49.0201,0.7361,1.1826
33,48.6062,1.0276,1.1826
33,49.3705,1.2472,1.1826
33,48.2722,0.9028,1.1826
33,50.8602,2.4802,1.1826
33,53.9213,2.6377,1.1826
33,46.0986,0.0416,1.1826
34,70.0370,3.2042,0.5068
34,65.8293,1.6703,0.5068
34,69.2088,2.8237,0.5068
34,57.4490,0.4952,0.5068
34,62.9391,1.4448,0.5068
34,68.7833,2.9131,0.5068
34,59.1818,1.1098,0.5068
34,50.3310,-0.5226,0.5068
34,61.2064,1.0517,0.5068
34,59.5846,0.7694,0.5068
35,56.5324,-0.8369,0.0340
35,72.9511,0.2864,0.0340
35,40.0802,-2.4473,0.0340
35,30.1151,-3.3546,0.0340
35,37.7472,-2.6031,0.0340
35,86.0602,1.6593,0.0340
35,36.5768,-2.5328,0.0340
35,68.6842,-0.0916,0.0340
35,59.3543,-0.7911,0.0340
35,55.6295,-1.1843,0.0340
36,48.6681,-0.5518,-0.5071
36,49.1793,0.6788,-0.5071
36,47.2218,-0.1109,-0.5071
36,48.9629,1.3368,-0.5071
36,48.4521,0.9087,-0.5071
36,50.7824,2.3553,-0.5071
36,47.1635,1.5333,-0.5071
36,48.1355,2.1021,-0.5071
36,50.1786,1.6198,-0.5071
36,49.2083,0.1155,-0.5071
37,55.9729,-0.2591,1.0665
37,64.7460,1.1653,1.0665
37,60.2508,0.2349,1.0665
37,65.1373,1.3523,1.0665
37,58.4472,0.0100,1.0665
37,68.5303,1.6911,1.0665
37,47.5604,-2.1130,1.0665
37,55.0048,-0.4806,1.0665
37,65.6915,1.2388,1.0665
37,64.0185,1.1921,1.0665
38,38.3314,1.5868,-1.0296
38,41.9200,-0.2961,-1.0296
38,38.5578,-0.0600,-1.0296
38,40.2544,0.3489,-1.0296
38,44.7890,-1.5177,-1.0296
38,39.1925,0.3955,-1.0296
38,41.5715,-0.0128,-1.0296
38,40.4980,0.5709,-1.0296
38,40.7253,-0.1939,-1.0296
38,42.6378,-0.3697,-1.0296
39,47.5210,-0.3713,-0.6123
39,50.6475,0.1796,-0.6123
39,51.9591,0.2505,-0.6123
39,53.1625,0.2770,-0.6123
39,54.5334,1.1051,-0.6123
39,45.3021,-0.3513,-0.6123
39,51.8143,0.2745,-0.6123
39,46.0968,-0.4301,-0.6123
39,44.2713,-0.3108,-0.6123
39,54.1537,0.8609,-0.6123
40,48.1988,0.6489,0.3385
40,51.0577,1.1783,0.3385
40,54.5818,1.8989,0.3385
40,57.7825,3.4983,0.3385
40,46.7503,0.9759,0.3385
40,49.5934,1.1623,0.3385
40,53.5462,3.0278,0.3385
40,51.9886,1.8211,0.3385
40,49.8073,1.1439,0.3385
40,49.7347,1.4525,0.3385
41,37.8481,-1.6351,-0.9124
41,35.1748,-2.3069,-0.9124
41,34.4385,-2.5967,-0.9124
41,29.2579,-3.2314,-0.9124
41,32.1202,-2.7349,-0.9124
41,40.7203,-0.8873,-0.9124
41,32.2745,-2.8729,-0.9124
41,33.7945,-2.5910,-0.9124
41,30.9534,-3.2199,-0.9124
41,40.4970,-1.4225,-0.9124
42,52.9730,1.3643,-1.1937
42,51.6887,-0.6172,-1.1937
42,54.5892,1.4353,-1.1937
42,56.1116,0.5902,-1.1937
42,53.3426,0.1153,-1.1937
42,55.1027,-0.0739,-1.1937
42,54.7084,0.4129,-1.1937
42,57.2711,2.0036,-1.1937
42,57.5780,1.7001,-1.1937
42,55.9211,2.0497,-1.1937
43,44.9511,0.2063,0.5993
43,47.0058,-0.0284,0.5993
43,45.0776,-1.7459,0.5993
43,45.4730,-2.3276,0.5993
43,47.6091,-0.8059,0.5993
43,45.7675,-0.9864,0.5993
43,45.8335,-1.1325,0.5993
43,50.0931,0.6112,0.5993
43,45.5610,-1.2081,0.5993
43,45.4469,-1.4375,0.5993
44,32.9998,-0.6806,1.3880
44,48.6766,2.2340,1.3880
44,45.2819,1.4834,1.3880
44,45.2713,1.8709,1.3880
44,44.6611,1.5807,1.3880
44,48.4384,2.2942,1.3880
44,41.0360,1.0460,1.3880
44,39.2021,0.6913,1.3880
44,44.1098,1.3897,1.3880
44,42.0123,1.0215,1.3880
45,31.4308,-1.3966,0.7660
45,37.1281,-0.0991,0.7660
45,34.5995,-0.6199,0.7660
45,34.8261,0.7231,0.7660
45,39.8407,1.4666,0.7660
45,34.4294,-0.2056,0.7660
45,34.3148,-0.6110,0.7660
45,36.0700,-0.5608,0.7660
45,33.8976,-0.4231,0.7660
45,32.3717,-2.5381,0.7660
46,47.7743,-1.1458,-0.8457
46,43.1032,-2.0532,-0.8457
46,47.5950,-1.6176,-0.8457
46,52.0345,0.0772,-0.8457
46,53.1295,0.3258,-0.8457
46,50.1697,-0.2129,-0.8457
46,47.8028,-0.9677,-0.8457
46,50.4359,0.3730,-0.8457
46,46.2827,-1.3585,-0.8457
46,47.3962,-1.1349,-0.8457
47,63.1142,0.2840,-0.0508
47,50.1051,-1.8384,-0.0508
47,47.1485,-2.3299,-0.0508
47,61.3720,0.0271,-0.0508
47,43.0581,-2.7811,-0.0508
47,51.2382,-1.5331,-0.0508
47,49.1431,-2.1705,-0.0508
47,61.2141,0.2563,-0.0508
47,56.5668,-0.7577,-0.0508
47,62.5187,0.3615,-0.0508
48,57.8736,1.3891,-0.5807
48,47.8462,0.1911,-0.5807
48,58.3984,1.9310,-0.5807
48,50.1116,0.4380,-0.5807
48,51.2207,0.4829,-0.5807
48,54.1313,1.0205,-0.5807
48,55.5509,1.1655,-0.5807
48,54.5115,1.1798,-0.5807
48,54.4633,1.1168,-0.5807
48,44.1759,-0.4760,-0.5807
49,40.4300,0.6735,-2.5757
49,42.4156,1.6327,-2.5757
49,39.0562,0.6039,-2.5757
49,33.0510,-0.9576,-2.5757
49,36.9236,-0.2329,-2.5757
49,41.5385,0.5736,-2.5757
49,41.0593,0.5713,-2.5757
49,35.4436,-0.4283,-2.5757
49,36.0809,-0.6104,-2.5757
49,42.1545,1.3813,-2.5757
50,37.8027,-2.2679,-0.6224
50,36.7566,-0.5053,-0.6224
50,36.7419,-1.5428,-0.6224
50,35.5553,-1.9742,-0.6224
50,34.7694,-5.2248,-0.6224
50,35.8542,-1.1480,-0.6224
50,35.6613,-0.3363,-0.6224
50,35.6827,-2.6134,-0.6224
50,37.5093,-2.7391,-0.6224
50,35.4855,-3.0130,-0.6224
51,55.9629,0.7830,0.5766
51,55.5888,0.7229,0.5766
51,55.5401,3.0351,0.5766
51,54.5418,1.1281,0.5766
51,56.1842,1.8306,0.5766
51,53.2419,0.7528,0.5766
51,54.2165,1.8536,0.5766
51,57.8684,1.7538,0.5766
51,54.6872,0.6621,0.5766
51,57.2189,4.0173,0.5766
52,32.8044,-0.6170,-1.0923
52,28.8393,-0.6868,-1.0923
52,29.6133,-1.7794,-1.0923
52,31.0342,-1.8330,-1.0923
52,31.0903,0.3769,-1.0923
52,31.7908,-0.4376,-1.0923
52,28.3728,-2.4017,-1.0923
52,31.0806,-1.5565,-1.0923
52,30.7490,-0.1745,-1.0923
52,29.6241,-0.9469,-1.0923
53,38.6344,0.3239,1.1234
53,34.1262,-1.1247,1.1234
53,35.5164,-0.7848,1.1234
53,36.5184,0.4790,1.1234
53,38.8864,1.5366,1.1234
53,36.5523,-1.4802,1.1234
53,38.5531,1.2857,1.1234
53,34.6923,-1.4822,1.1234
53,37.0121,0.6458,1.1234
53,36.4128,-0.0614,1.1234
54,52.0249,1.8124,0.0028
54,52.4521,1.7617,0.0028
54,50.6048,1.4680,0.0028
54,56.5165,2.7486,0.0028
54,55.1928,2.2905,0.0028
54,54.7949,2.4801,0.0028
54,43.1709,-0.8990,0.0028
54,47.8165,0.4163,0.0028
54,48.6441,0.7720,0.0028
54,50.3249,1.0495,0.0028
55,42.0194,-0.4008,-0.6205
55,36.8390,-1.7498,-0.6205
55,38.2029,-1.3770,-0.6205
55,36.8321,-1.5688,-0.6205
55,40.0568,-1.1580,-0.6205
55,38.3773,-0.8455,-0.6205
55,35.6934,-1.7485,-0.6205
55,34.9543,-1.8809,-0.6205
55,40.1103,-0.6736,-0.6205
55,38.8990,-0.9075,-0.6205
56,56.2832,2.3222,0.6636
56,55.1959,1.4143,0.6636
56,53.1862,0.6606,0.6636
56,48.5011,-0.0805,0.6636
56,48.3589,-0.3373,0.6636
56,57.1929,1.9692,0.6636
56,49.6914,0.1340,0.6636
56,48.0627,-0.1322,0.6636
56,54.8983,1.4174,0.6636
56,50.7070,0.7864,0.6636
57,44.5453,0.0307,0.3248
57,49.9765,0.4894,0.3248
57,48.1611,0.5178,0.3248
57,43.1295,-0.0081,0.3248
57,50.3720,0.7971,0.3248
57,57.7838,2.3802,0.3248
57,48.7976,0.3689,0.3248
57,40.2806,-0.9235,0.3248
57,44.9371,-0.1666,0.3248
57,48.7872,0.8397,0.3248
58,57.9155,-0.7997,0.1899
58,56.5236,-0.7561,0.1899
58,38.2717,-3.0955,0.1899
58,57.1931,-0.4964,0.1899
58,50.3181,-1.6539,0.1899
58,51.1284,-1.6451,0.1899
58,56.2094,-0.9753,0.1899
58,36.0917,-3.2882,0.1899
58,52.9561,-1.0959,0.1899
58,28.5526,-4.3498,0.1899
59,39.2232,0.1697,-0.5576
59,37.5173,0.6501,-0.5576
59,38.7883,0.9454,-0.5576
59,41.2708,-1.0097,-0.5576
59,41.1393,-1.4810,-0.5576
59,39.1666,-0.8045,-0.5576
59,41.6564,-2.0966,-0.5576
59,39.8631,0.0993,-0.5576
59,40.8191,-1.0951,-0.5576
59,41.5651,-1.5930,-0.5576
60,41.2048,-1.7744,-0.7296
60,41.0556,0.0841,-0.7296
60,40.9694,0.0422,-0.7296
60,41.8580,-1.3289,-0.7296
60,42.0089,-0.2746,-0.7296
60,40.3608,0.0146,-0.7296
60,42.0019,0.6408,-0.7296
60,42.0095,-0.7183,-0.7296
60,39.4438,-1.2283,-0.7296
60,44.1550,-1.9467,-0.7296
61,34.9874,-2.3433,-0.3987
61,33.7838,-2.4498,-0.3987
61,33.5856,-1.0571,-0.3987
61,34.5794,-1.7331,-0.3987
61,36.2127,-2.2254,-0.3987
61,31.6818,-1.0793,-0.3987
61,32.7021,-0.6879,-0.3987
61,31.6854,-0.2350,-0.3987
61,37.1526,-2.8782,-0.3987
61,33.9933,-1.0319,-0.3987
62,37.8437,-0.3042,0.8484
62,43.4205,-2.7782,0.8484
62,32.9496,0.6889,0.8484
62,37.5722,-0.9508,0.8484
62,38.8985,-0.8239,0.8484
62,36.9845,-0.7496,0.8484
62,41.2558,-2.0124,0.8484
62,40.1313,-0.7953,0.8484
62,38.0897,-1.3633,0.8484
62,41.3100,-2.4633,0.8484
63,52.3994,1.6119,0.6053
63,50.7689,2.9588,0.6053
63,52.3853,0.3699,0.6053
63,52.6702,1.4256,0.6053
63,53.4620,3.4059,0.6053
63,55.1446,2.7489,0.6053
63,51.4267,2.0353,0.6053
63,50.2951,1.9837,0.6053
63,54.5899,2.2062,0.6053
63,51.4560,2.5724,0.6053
64,43.3301,-0.1912,-2.8348
64,43.3456,-0.4974,-2.8348
64,51.5415,0.7022,-2.8348
64,37.6431,-0.8704,-2.8348
64,37.4011,-0.6523,-2.8348
64,50.3819,0.5428,-2.8348
64,41.7614,-0.4463,-2.8348
64,42.7314,-0.3925,-2.8348
64,41.5971,-0.3782,-2.8348
64,37.6444,-0.7423,-2.8348
65,71.7108,2.3276,0.3387
65,40.2034,-0.8732,0.3387
65,46.0485,-0.5460,0.3387
65,58.7080,0.9494,0.3387
65,58.8378,0.9318,0.3387
65,56.3127,0.7517,0.3387
65,56.5820,0.7115,0.3387
65,58.9577,1.0534,0.3387
65,70.6459,2.4779,0.3387
65,67.4330,2.0991,0.3387
66,44.4465,-0.4710,-1.1694
66,49.0780,0.3952,-1.1694
66,41.6563,-1.1508,-1.1694
66,38.4187,-1.5569,-1.1694
66,44.7761,-0.1604,-1.1694
66,42.8682,-0.1145,-1.1694
66,43.4873,-0.8609,-1.1694
66,45.7248,-0.5239,-1.1694
66,42.9812,-0.7354,-1.1694
66,46.5961,-0.0493,-1.1694
67,39.6400,2.0439,1.1181
67,41.7365,1.7742,1.1181
67,39.4685,1.5795,1.1181
67,40.4146,0.8950,1.1181
67,40.7817,0.1309,1.1181
67,42.1481,0.8932,1.1181
67,39.9872,2.3013,1.1181
67,43.0817,-0.2279,1.1181
67,44.1333,-0.5048,1.1181
67,42.8677,-1.8940,1.1181
68,54.0180,0.4713,-1.2711
68,76.2031,2.2807,-1.2711
68,58.9152,0.7651,-1.2711
68,44.8221,-0.4963,-1.2711
68,81.1883,2.6712,-1.2711
68,38.4292,-1.0054,-1.2711
68,56.6558,0.3964,-1.2711
68,61.6575,0.9916,-1.2711
68,64.8423,1.3821,-1.2711
68,43.2145,-0.5554,-1.2711
69,53.1249,1.1335,1.5083
69,39.7107,-0.3905,1.5083
69,55.5453,1.3915,1.5083
69,39.0474,-0.3650,1.5083
69,48.9595,0.7102,1.5083
69,57.6780,1.7153,1.5083
69,44.0366,0.4605,1.5083
69,62.4934,2.1724,1.5083
69,35.5837,-0.5548,1.5083
69,51.7082,0.9269,1.5083
70,48.8059,-0.9798,0.6903
70,58.6141,0.8783,0.6903
70,42.3336,-2.1073,0.6903
70,46.4879,-1.4257,0.6903
70,50.2449,-0.4213,0.6903
70,61.6217,1.6895,0.6903
70,44.4042,-1.8174,0.6903
70,49.8483,-0.5480,0.6903
70,59.6247,1.7594,0.6903
70,49.1073,-0.8582,0.6903
71,45.0852,-0.4469,-0.4775
71,36.6805,-2.0729,-0.4775
71,44.1788,-0.3038,-0.4775
71,43.7361,-0.0135,-0.4775
71,45.7562,-0.1999,-0.4775
71,33.3380,-3.0923,-0.4775
71,47.7650,1.0496,-0.4775
71,37.6896,-2.5143,-0.4775
71,44.5776,0.2663,-0.4775
71,45.0326,0.0027,-0.4775
72,42.7957,-0.9660,0.3395
72,48.0767,0.0259,0.3395
72,40.2357,-1.5448,0.3395
72,49.0126,0.0137,0.3395
72,47.2025,-0.5026,0.3395
72,47.2680,-0.4911,0.3395
72,37.6877,-1.8732,0.3395
72,52.6174,0.5267,0.3395
72,38.4659,-1.4469,0.3395
72,43.6096,-0.8708,0.3395
73,44.3943,2.7078,0.2772
73,44.6020,0.8644,0.2772
73,45.6001,2.1045,0.2772
73,45.1768,1.8489,0.2772
73,44.6935,2.0563,0.2772
73,45.7660,0.5643,0.2772
73,47.2235,1.4759,0.2772
73,46.7713,2.6767,0.2772
73,44.1334,1.2952,0.2772
73,44.4631,1.6410,0.2772
74,40.7633,0.1014,0.5060
74,41.0488,-1.4831,0.5060
74,42.3433,-0.7494,0.5060
74,42.0603,-0.9316,0.5060
74,41.9642,-1.9616,0.5060
74,40.4569,-0.6840,0.5060
74,40.4224,-1.8866,0.5060
74,39.9975,-3.5042,0.5060
74,42.2378,-0.5267,0.5060
74,40.2911,-1.9639,0.5060
75,30.9088,-3.1312,-2.2670
75,34.7338,-1.0304,-2.2670
75,38.9670,-0.4513,-2.2670
75,37.8817,0.1989,-2.2670
75,36.1219,-0.0020,-2.2670
75,36.4224,0.3373,-2.2670
75,33.7811,-2.1075,-2.2670
75,36.6950,-2.1339,-2.2670
75,36.4239,-1.1792,-2.2670
75,38.3076,0.7152,-2.2670
76,44.9721,0.2746,-0.7367
76,40.0863,-1.5069,-0.7367
76,39.3776,-1.7151,-0.7367
76,49.9400,1.4805,-0.7367
76,42.2177,-0.6146,-0.7367
76,42.5756,-0.4461,-0.7367
76,37.3320,-2.3948,-0.7367
76,44.8421,-0.3480,-0.7367
76,41.7881,-1.6476,-0.7367
76,47.9251,0.2930,-0.7367
77,44.1137,0.3945,1.1906
77,43.8936,-1.9976,1.1906
77,43.9965,-0.9587,1.1906
77,43.8371,-0.5830,1.1906
77,44.7312,0.0620,1.1906
77,41.0030,-0.7603,1.1906
